1606089811985194,cf003e6,ff ff ff ff ff ff ff ff
1606089811986173,10ff80e6,ff ff ff 2f ff ff ff ff
1606089811986899,15ff59e6,00 00 00 00 00 00 00 00
1606089811986988,18f006e6,ff ff ff ff ff ff ff ff
1606089811987066,18f009e6,ff ff ff ff ff ff ff ff
1606089811987652,18fd7ce6,ff 83 ff ff ff ff ff ff
1606089811988033,18fdc4e6,ff ff ff ff ff ff ff ff
1606089811988444,1cff9053,ae 1f 00 80 00 00 00 00
1606089811988986,1cff80e6,e6 00 00 00 00 00 00 00
1606089811989881,cf002e6,ff ff ff ff ff ff ff ff
1606089811990462,cf004e6,ff ff ff ff ff ff ff ff
1606089811991042,18fd09e6,ff ff ff ff ff ff ff ff
1606089811991625,18fec4c8,ff ff ff ff ff ff ff ff
1606089811992211,18ff1fe6,00 f0 ff ff ff ff ff ff
1606089811994774,cfe5ae6,ff ff ff ff ff ff ff ff
1606089811995347,10ff80e6,ff ff ff 2f ff ff ff ff
1606089811995985,18f009e6,ff ff ff ff ff ff ff ff
1606089811996568,18fec4c0,ff ff ff ff ff ff ff ff
1606089811999726,8fe6ee6,ff ff ff ff ff ff ff ff
1606089812000315,cf002e6,ff ff ff ff ff ff ff ff
1606089812000890,18f005e6,ff ff ff ff 00 00 00 00
1606089812001476,18fec4b8,ff ff ff ff ff ff ff ff
1606089812004838,10ff80e6,ff ff ff 2f ff ff ff ff
1606089812005425,18f009e6,ff ff ff ff ff ff ff ff
1606089812006004,18fe59e6,ff ff ff ff ff ff ff ff
1606089812006542,18fec4b0,ff ff ff ff ff ff ff ff
1606089812009741,cf002e6,ff ff ff ff ff ff ff ff
1606089812010328,cf004e6,ff ff ff ff ff ff ff ff
1606089812010908,cfe6ce6,ff ff ff ff ff ff ff ff
1606089812011480,15ff5ce6,fc cf ff ff ff ff ff ff
1606089812012062,18fe40f6,ff ff ff ff cf ff ff ff
1606089812012603,18fec4a8,ff ff ff ff ff ff ff ff
1606089812014853,10ff80e6,ff ff ff 2f ff ff ff ff
1606089812015433,15ff55e6,ff ff ff ff ff ff ff ff
1606089812016027,18f009e6,ff ff ff ff ff ff ff ff
1606089812016556,18fe5cc8,ff ff ff ff 00 ff ff ff
1606089812017172,18fef1e6,ff ff ff ff ff ff ff ff
1606089812019763,8fe6ee6,ff ff ff ff ff ff ff ff
1606089812020323,cf002e6,ff ff ff ff ff ff ff ff
1606089812020909,18fe5cc0,ff ff ff ff 00 ff ff ff
1606089812021488,18fef2e6,ff ff ff ff ff ff ff ff
1606089812024634,10ff80e6,ff ff ff 2f ff ff ff ff
1606089812025229,18f009e6,ff ff ff ff ff ff ff ff
1606089812025808,18fd15e6,ff ff ff ff ff ff ff ff
1606089812026384,18fe5cb8,ff ff ff ff 00 ff ff ff
1606089812029714,cf002e6,ff ff ff ff ff ff ff ff
1606089812030291,cf004e6,ff ff ff ff ff ff ff ff
1606089812030877,18fe5cb0,ff ff ff ff 00 ff ff ff
1606089812034697,cf003e6,ff ff ff ff ff ff ff ff
1606089812035276,10ff80e6,ff ff ff 2f ff ff ff ff
