1597707827052591,260,06 25 05 30 FF CF 71 55
1597707827053980,329,4A C5 7E 8C 31 2D 01 10
1597707827054670,38D,00 00 49 00 90 7F FE 01
1597707827054904,420,50 1E 00 C8 FC 4F 6A 00
1597707827055140,421,FE 07 00 FF E3 7F 00 52
1597707827055378,153,20 80 10 FF 00 FF A0 4E
1597707827055615,220,12 24 7C 00 00 6D 10 F6
1597707827055853,340,00 00 00 24 36 01 25 30
1597707827056095,389,00 00 00 20 00 00 C2 00
1597707827056338,47F,00 EC FF FA 00 78 00 36
1597707827059800,130,E4 80 AC 80 00 00 07 95
1597707827060041,140,6C 80 00 6E 20 00 07 E8
1597707827060268,251,59 04 DA 4F 00 45 B8 7F
1597707827060471,2B0,67 00 00 07 CA 5B 00 00
1597707827060639,164,00 08 1C FA 00 00 00 00
1597707827060887,356,00 00 00 80 1F 00 00 00
1597707827061103,366,26 82 10 25 21 0B 01 00
1597707827061346,367,00 00 00 00 05 00 B4 12
1597707827061587,368,00 0C 01 00 02 82 10 44
1597707827061823,381,80 28 42 00 00 EE 12 05
1597707827062052,387,F0 BD FA BD 00 71 0D 00
1597707827062292,394,00 00 00 00 E5 03 19 98
1597707827062472,453,00 88 90 00 6F 00 00 00
1597707827062706,470,15 41 01 04 54 50 54 45
1597707827062947,490,00 00 08 21 00 30 3C BD
1597707827063179,495,00 00 61 0A 1D 02 87 6E
1597707827063423,500,01 07 00 00 0C 00 0C 53
1597707827063658,260,06 25 05 30 FF CF 71 64
1597707827064274,391,00 00 00 00 00 00 03 24
1597707827064502,329,4A C5 7E 8C 31 2E 01 10
1597707827064664,4F1,40 1B 60 31 00 00 00 00
1597707827065297,220,0F 04 80 00 00 6D 10 09
1597707827065537,153,20 80 10 FF 00 FF B0 5E
1597707827065775,340,00 00 00 24 46 01 6D 30
1597707827066019,484,38 00 FC 3E 00 00 FC 3E
1597707827069799,130,D4 80 84 80 00 00 08 4E
1597707827070040,140,1C 80 00 6E 20 00 08 5B
1597707827070268,251,55 04 DB 37 00 42 78 7F
1597707827070438,164,00 08 1E C0 00 00 00 00
1597707827070640,2B0,67 00 00 07 DB 8B 00 00
1597707827070873,386,71 01 73 01 68 01 6E C1
1597707827071285,356,00 00 00 80 18 00 00 00
1597707827071498,366,26 86 10 25 21 0B 01 00
1597707827071744,367,00 00 00 00 05 00 AE 12
1597707827071980,368,00 0C 0A 00 02 82 10 44
1597707827072224,479,4A 00 00 00 00 00 00 00
1597707827072656,260,06 25 05 30 FF CF 6F 76
1597707827074031,329,4A C5 7E 8C 31 2D 01 10
1597707827074668,38D,00 00 49 00 98 7F FE 0D
1597707827074901,420,60 1E 00 C8 FC 4F 6A 00
1597707827075141,421,FE 07 00 FF E3 7F 00 43
1597707827075381,153,20 80 10 FF 00 FF C0 6E
1597707827075617,220,14 84 81 00 00 71 10 13
1597707827075860,340,00 00 00 24 56 01 75 30
1597707827076102,389,00 00 00 20 00 00 B3 00
1597707827076346,47F,00 ED FF FA 00 78 00 70
1597707827079812,130,C0 80 6C 80 00 00 09 89
1597707827080047,140,A4 7F 00 6F 20 00 09 77
1597707827080281,251,50 04 DC 8B 00 3E 48 7F
1597707827080451,164,00 08 00 AB 00 00 00 00
1597707827080655,2B0,67 00 00 07 AC 81 00 00
1597707827080902,356,00 00 00 80 18 00 00 00
1597707827081115,366,25 86 10 25 21 0B 01 00
1597707827081358,367,00 00 00 00 05 00 B7 12
1597707827081600,368,00 0C 10 00 02 86 10 44
1597707827081840,381,80 F0 41 00 00 EF 0E 05
1597707827082079,387,F3 C0 FD C0 00 7E 0E 00
1597707827082317,394,00 20 00 00 EA 03 12 98
1597707827082490,436,00 00 00 04 00 00 00 00
1597707827082673,453,00 88 90 00 7F 00 00 00
1597707827082912,470,15 01 04 04 50 50 54 49
1597707827083156,541,03 04 41 80 C0 00 00 04
1597707827083440,260,06 25 05 30 FF CF 6F 49
1597707827084092,329,85 C5 7E 8C 31 2D 01 10
1597707827084343,391,00 00 00 00 00 00 04 77
1597707827084507,4F1,60 1B 60 41 00 00 00 00
1597707827085299,220,0F 44 80 00 00 69 10 25
1597707827085541,153,20 80 10 FF 00 FF D0 7E
1597707827085777,340,00 00 00 24 66 01 5D 30
1597707827085950,485,02 00 00 00 00 00 00 00
1597707827086624,492,40 FE 0F 00 00 00 00 C4
1597707827089815,130,D0 80 70 80 00 00 0A 3B
1597707827090051,140,18 7F 00 6F 20 00 0A 9C
1597707827090217,164,00 08 02 91 00 00 00 00
1597707827090451,251,49 04 DD 03 00 39 18 7F
1597707827090652,2B0,67 00 00 07 BD 51 00 00
1597707827090882,386,6B 41 6F 01 69 41 6E 01
1597707827091338,356,00 00 00 80 18 00 00 00
1597707827091552,366,25 86 10 25 21 0B 01 00
1597707827091798,367,00 00 00 00 05 00 BB 12
1597707827092033,368,00 0C 13 00 02 86 10 44
1597707827092281,4C9,00 00 00 00 00 00 00 00
1597707827093176,48A,00 00 21 40 02 02 20 29
1597707827094034,260,06 25 05 30 FF CF 6B 5C
1597707827094494,58B,11 00 00 00 00 00 00 00
1597707827094722,329,85 C5 7E 8C 31 2E 01 10
1597707827094960,38D,00 00 49 00 A0 7F FE 29
1597707827095194,420,70 1E 00 C8 FC 4F 6A 00
1597707827095434,153,20 80 10 FF 00 FF E0 8E
1597707827095672,220,0C 64 7E 00 00 5F 10 34
1597707827095909,340,00 00 00 24 76 01 45 30
1597707827096147,421,FE 07 00 FF E3 7F 00 34
1597707827096394,389,00 00 00 20 00 00 A4 00
1597707827096635,47F,00 EE FF FA 00 78 00 BA
1597707827096881,48C,4C 20 02 00 00 00 00 00
1597707827099826,130,B4 80 64 80 00 00 0B A5
1597707827100064,140,80 7E 00 6E 20 00 0B 90
1597707827100294,251,44 04 DE E5 00 35 08 7F
1597707827100462,164,00 08 04 DF 00 00 00 00
1597707827100662,2B0,67 00 00 07 8E 3C 00 00
1597707827100909,356,00 00 00 80 18 00 00 00
1597707827101121,366,25 8A 10 25 21 0B 01 00
1597707827101361,367,00 00 00 00 05 00 B9 12
1597707827101601,368,00 0C 14 00 02 86 10 44
1597707827101841,381,80 A8 41 00 00 F0 57 05
1597707827102074,387,F6 C3 01 C3 00 7D 00 00
1597707827102312,394,00 40 00 00 E2 03 18 98
1597707827102494,453,00 88 90 00 8F 00 00 00
1597707827102731,470,15 41 05 04 54 50 54 8D
1597707827102975,544,FF 77 FF FF 00 00 00 00
1597707827103217,553,00 01 19 02 01 00 80 00
1597707827103457,260,06 25 05 30 FF CF 6B 6B
1597707827104306,391,00 00 00 00 00 00 05 6A
1597707827104534,329,85 C5 7E 8C 31 2D 01 10
1597707827104696,4F1,40 1B 60 51 00 00 00 00
1597707827104936,50C,00 0E 00 07 06 10 00 A2
1597707827105176,52A,0E 00 00 00 02 00 0E A6
1597707827105416,153,20 80 10 FF 00 FF 00 AE
1597707827105654,220,0C 24 7C 00 00 67 10 4A
1597707827105893,340,00 00 00 24 86 01 CD 30
1597707827106065,507,00 00 00 01 00 00 00 00
1597707827106231,5B0,E3 14 00 00 00 00 00 00
